,ax,ay,az,gx,gy,gz,action
0,-8.58,3.53,-11.75,225.28,19.38,-193.08,grenade
1,-10.43,5.23,-16.4,151.31,-4.83,-73.35,grenade
2,-8.17,5.5,-15.6,-36.02,-57.72,54.55,grenade
3,-7.55,4.0,-15.46,-207.93,50.73,166.27,grenade
4,-5.69,-2.67,-12.69,155.33,14.48,242.6,grenade
5,-2.91,-16.96,-3.82,155.33,-22.34,250.06,grenade
6,-2.02,-13.58,-4.84,160.25,66.88,211.77,grenade
7,-1.6,-18.36,5.3,312.03,239.42,186.73,grenade
8,2.51,-9.17,21.19,-161.26,-242.8,252.85,grenade
9,0.59,1.01,10.37,-48.11,-275.36,-63.0,grenade
10,-0.6,-0.06,8.54,50.05,-73.61,-163.81,grenade
11,-6.25,4.42,3.82,15.03,144.92,-2.13,grenade
12,-3.42,3.62,5.72,-157.26,-107.53,21.24,grenade
13,1.87,-3.11,5.97,-143.18,-44.46,69.53,grenade
14,1.31,1.69,4.34,-36.42,3.47,-17.67,grenade
15,0.91,-3.5,3.25,-133.18,-62.09,-16.03,grenade
16,0.26,-2.43,2.87,-56.49,-15.48,-52.35,grenade
17,-1.06,-6.05,3.2,-214.26,-95.0,-8.74,grenade
18,-0.05,-6.95,3.4,-165.66,-143.21,24.27,grenade
19,0.79,-11.58,4.13,-315.65,-177.27,100.73,grenade
20,3.18,-14.37,4.87,-273.01,326.04,164.01,grenade
21,7.87,-22.02,2.95,291.81,311.63,216.18,grenade
22,7.65,-21.03,2.53,-131.25,238.51,201.11,grenade
23,13.84,-24.36,-2.53,-79.07,155.33,194.58,grenade
24,18.78,-17.85,-3.77,65.2,-246.6,180.2,grenade
25,12.94,-12.17,-3.75,13.3,-19.73,112.05,grenade
26,7.68,-11.39,-1.04,-82.0,-57.75,78.22,grenade
27,8.72,-12.8,3.04,-26.26,-33.31,37.05,grenade
28,6.03,-9.37,-0.6,22.84,-76.71,-20.29,grenade
29,4.79,-9.65,-2.63,1.78,-30.36,-10.88,grenade
30,2.75,-9.66,-2.61,-6.18,47.53,-7.46,grenade
31,0.54,-10.0,-1.34,-3.35,31.23,-23.91,grenade
32,-0.23,-9.74,-2.0,26.36,42.83,-14.81,grenade
33,0.07,-8.98,-2.54,-1.0,10.88,-11.84,grenade
34,0.73,-10.06,-1.28,-18.23,15.51,-5.4,grenade
35,-8.58,3.53,-11.75,225.28,19.38,-193.08,grenade
36,-10.43,5.23,-16.4,151.31,-4.83,-73.35,grenade
37,-8.17,5.5,-15.6,-36.02,-57.72,54.55,grenade
38,-7.55,4.0,-15.46,-207.93,50.73,166.27,grenade
39,-5.69,-2.67,-12.69,155.33,14.48,242.6,grenade
40,-2.91,-16.96,-3.82,155.33,-22.34,250.06,grenade
41,-2.02,-13.58,-4.84,160.25,66.88,211.77,grenade
42,-1.6,-18.36,5.3,312.03,239.42,186.73,grenade
43,2.51,-9.17,21.19,-161.26,-242.8,252.85,grenade
44,0.59,1.01,10.37,-48.11,-275.36,-63.0,grenade
45,-0.6,-0.06,8.54,50.05,-73.61,-163.81,grenade
46,-6.25,4.42,3.82,15.03,144.92,-2.13,grenade
47,-3.42,3.62,5.72,-157.26,-107.53,21.24,grenade
48,1.87,-3.11,5.97,-143.18,-44.46,69.53,grenade
49,1.31,1.69,4.34,-36.42,3.47,-17.67,grenade
50,0.91,-3.5,3.25,-133.18,-62.09,-16.03,grenade
51,0.26,-2.43,2.87,-56.49,-15.48,-52.35,grenade
52,-1.06,-6.05,3.2,-214.26,-95.0,-8.74,grenade
53,-0.05,-6.95,3.4,-165.66,-143.21,24.27,grenade
54,0.79,-11.58,4.13,-315.65,-177.27,100.73,grenade
55,3.18,-14.37,4.87,-273.01,326.04,164.01,grenade
56,7.87,-22.02,2.95,291.81,311.63,216.18,grenade
57,7.65,-21.03,2.53,-131.25,238.51,201.11,grenade
58,13.84,-24.36,-2.53,-79.07,155.33,194.58,grenade
59,18.78,-17.85,-3.77,65.2,-246.6,180.2,grenade
60,12.94,-12.17,-3.75,13.3,-19.73,112.05,grenade
61,7.68,-11.39,-1.04,-82.0,-57.75,78.22,grenade
62,8.72,-12.8,3.04,-26.26,-33.31,37.05,grenade
63,6.03,-9.37,-0.6,22.84,-76.71,-20.29,grenade
64,4.79,-9.65,-2.63,1.78,-30.36,-10.88,grenade
65,2.75,-9.66,-2.61,-6.18,47.53,-7.46,grenade
66,0.54,-10.0,-1.34,-3.35,31.23,-23.91,grenade
67,-0.23,-9.74,-2.0,26.36,42.83,-14.81,grenade
68,0.07,-8.98,-2.54,-1.0,10.88,-11.84,grenade
69,0.73,-10.06,-1.28,-18.23,15.51,-5.4,grenade
70,11.68,-1.6,13.46,311.27,80.71,187.02,grenade
71,6.43,-1.33,11.63,-278.2,48.09,235.46,grenade
72,5.96,-2.69,9.06,-244.89,-20.17,278.02,grenade
73,0.53,-4.4,1.87,-236.11,26.72,260.39,grenade
74,-3.78,-1.75,-4.1,-302.74,61.22,-327.57,grenade
75,-8.52,-0.18,-10.43,-308.46,57.83,-238.04,grenade
76,-11.31,1.23,-18.89,250.37,-30.1,-110.92,grenade
77,-10.98,2.6,-18.73,12.29,-74.68,32.09,grenade
78,-8.5,2.16,-17.81,-120.15,-95.17,127.28,grenade
79,-5.67,-0.42,-12.07,-327.51,31.31,193.89,grenade
80,-7.02,-7.8,-11.37,155.33,115.12,237.18,grenade
81,0.41,-28.68,2.18,155.33,-26.79,189.31,grenade
82,3.59,-12.85,4.48,272.74,70.34,298.66,grenade
83,11.5,-10.89,20.81,-253.88,-324.07,194.59,grenade
84,1.28,6.52,7.8,89.17,-1.7,-94.13,grenade
85,-4.17,5.79,2.22,65.69,37.35,-112.87,grenade
86,-7.88,7.98,3.84,-71.49,124.43,-21.53,grenade
87,-4.11,2.62,6.93,-147.67,-75.58,54.78,grenade
88,-0.27,3.82,8.16,-106.04,-68.74,3.41,grenade
89,-2.43,0.53,6.71,-16.98,20.87,-5.58,grenade
90,-1.67,3.47,3.79,-2.54,-101.66,-24.44,grenade
91,0.29,1.09,2.54,-74.37,-83.27,-19.38,grenade
92,0.01,-0.01,2.22,-81.71,-47.53,-25.2,grenade
93,-0.69,-3.43,2.12,-138.78,-37.08,-32.3,grenade
94,-1.41,-2.65,0.5,-75.65,-162.22,-4.25,grenade
95,0.65,-4.32,1.3,-251.66,-252.46,112.67,grenade
96,3.58,-9.34,0.28,309.47,216.46,225.32,grenade
97,9.39,-17.91,2.37,271.61,290.22,318.49,grenade
98,15.79,-19.28,-1.15,-115.18,155.33,269.85,grenade
99,23.86,-23.91,-1.55,-58.21,-258.06,312.4,grenade
100,12.99,-16.64,-0.92,-1.87,67.28,317.83,grenade
101,9.23,-20.3,4.94,-128.0,-184.93,288.39,grenade
102,16.04,-18.11,2.42,31.06,-248.03,175.1,grenade
103,14.39,-13.6,-1.3,14.97,-69.0,147.7,grenade
104,10.6,-11.46,-1.2,-15.58,103.58,47.0,grenade
105,6.78,4.27,16.97,-159.58,-86.03,-223.11,grenade
106,7.44,3.31,12.08,-185.85,-45.56,-257.39,grenade
107,7.03,-2.73,10.79,-198.07,-9.78,-287.45,grenade
108,0.28,-6.98,-0.66,-180.55,-20.7,297.64,grenade
109,-5.01,-1.57,-10.39,-273.04,-25.86,-292.53,grenade
110,-10.6,2.06,-17.02,210.54,23.22,-169.3,grenade
111,-10.07,3.67,-18.09,38.28,-65.41,-3.23,grenade
112,-8.92,3.25,-16.5,-147.03,-23.95,112.69,grenade
113,-7.22,-1.01,-13.62,238.48,12.1,199.61,grenade
114,-4.67,-9.62,-10.29,155.33,-16.41,297.73,grenade
115,2.94,-28.71,-0.78,155.33,5.18,209.76,grenade
116,6.15,-13.87,10.32,-266.14,131.55,252.81,grenade
117,8.49,-9.7,27.06,-22.35,-155.34,267.53,grenade
118,-0.17,8.22,9.88,55.88,-169.59,-86.34,grenade
119,-0.72,3.81,7.71,66.88,-146.25,-144.2,grenade
120,-6.35,7.22,5.2,106.02,273.18,-29.08,grenade
121,-2.8,7.78,5.58,-105.3,-100.19,34.96,grenade
122,1.0,5.31,8.08,-75.36,-32.87,26.67,grenade
123,-0.5,4.84,8.13,-29.86,58.68,4.91,grenade
124,-1.85,4.91,5.69,20.25,28.15,-3.11,grenade
125,-1.5,6.21,3.14,-21.63,-39.61,0.22,grenade
126,-1.02,3.37,4.09,-74.85,-32.13,15.74,grenade
127,-0.72,2.81,2.7,-48.08,-52.57,16.93,grenade
128,0.79,2.16,2.79,-88.55,-33.95,-11.58,grenade
129,0.86,-0.57,2.05,-89.91,-49.47,-15.33,grenade
130,2.98,-1.67,2.87,-173.82,-76.91,-33.55,grenade
131,1.71,-5.76,4.08,-168.08,-90.69,-75.65,grenade
132,1.17,-5.46,4.55,-167.9,-158.33,-49.82,grenade
133,1.08,-2.5,4.85,-136.31,-153.02,2.88,grenade
134,-1.74,-6.41,4.02,-238.23,-220.56,122.76,grenade
135,4.59,-8.94,5.93,-241.88,305.18,222.97,grenade
136,10.1,-18.76,4.99,-275.35,310.6,273.79,grenade
137,16.13,-16.65,-0.79,-29.31,198.68,211.62,grenade
138,17.5,-18.11,-0.07,-81.24,-281.83,244.37,grenade
139,13.1,-17.01,2.79,-45.7,15.93,264.82,grenade
140,7.31,3.62,14.13,-220.1,-68.7,-260.44,grenade
141,6.63,3.27,12.62,-226.82,-45.5,-290.7,grenade
142,4.26,-0.53,9.36,-222.27,-0.82,-326.25,grenade
143,-0.8,-2.8,2.59,-212.2,23.72,294.51,grenade
144,-4.23,-1.0,-6.77,-251.52,32.01,-316.5,grenade
145,-8.08,1.0,-13.41,306.49,80.87,-189.65,grenade
146,-10.15,2.74,-18.81,196.79,-78.16,-60.88,grenade
147,-9.04,1.3,-18.64,-37.4,-76.1,81.33,grenade
148,-7.98,0.47,-15.85,-302.01,-18.63,183.01,grenade
149,-5.83,-5.37,-11.21,155.33,-24.18,294.25,grenade
150,-4.74,-15.83,-9.28,155.33,-11.04,-253.9,grenade
151,4.92,-25.74,5.75,193.63,129.03,301.2,grenade
152,4.04,-8.94,11.46,-150.79,-322.88,197.6,grenade
153,-0.48,1.31,19.07,50.77,242.0,85.99,grenade
154,4.23,5.85,7.81,-54.73,-305.12,-26.93,grenade
155,2.71,5.1,7.22,-11.07,71.81,-63.39,grenade
156,-4.01,6.84,7.87,56.43,234.02,-29.19,grenade
157,-1.76,6.48,9.2,-59.66,-86.6,20.38,grenade
158,0.95,4.58,9.09,-22.02,-2.5,11.29,grenade
159,-1.46,5.19,7.89,7.69,40.31,-9.38,grenade
160,-0.89,5.0,6.27,-4.42,-22.44,15.62,grenade
161,1.32,4.9,4.87,-37.52,-21.39,7.88,grenade
162,0.95,3.56,4.65,-53.31,5.53,-10.23,grenade
163,-0.44,3.89,3.18,-49.77,-0.21,-23.48,grenade
164,0.64,1.37,2.27,-106.33,20.38,-18.8,grenade
165,-0.96,-1.21,1.73,-142.2,-9.85,-33.46,grenade
166,-0.41,-2.83,2.43,-157.81,-122.9,-55.77,grenade
167,-0.99,-4.05,2.19,-145.36,-179.88,-64.7,grenade
168,-0.09,-4.54,3.38,-172.54,-204.04,13.64,grenade
169,-0.61,-3.93,2.83,-129.51,-210.11,86.08,grenade
170,-0.66,-7.41,2.97,-206.66,-295.79,179.12,grenade
171,4.12,-12.89,-2.25,-152.61,191.51,245.82,grenade
172,12.49,-20.83,-4.94,-189.11,155.33,248.63,grenade
173,15.98,-23.73,-7.8,134.18,259.66,261.4,grenade
174,13.81,-22.35,-11.26,91.94,235.58,272.58,grenade
175,10.63,-6.53,14.5,-305.07,7.72,155.33,grenade
176,3.75,-9.49,10.36,-290.16,107.72,172.87,grenade
177,-2.39,-10.01,2.17,-241.39,89.95,286.96,grenade
178,-7.1,-4.21,-6.37,-245.82,57.28,-327.05,grenade
179,-10.81,1.41,-13.74,-307.97,14.58,-257.69,grenade
180,-14.49,4.59,-20.31,167.34,-3.41,-112.86,grenade
181,-11.71,4.8,-19.37,-7.32,-54.9,92.61,grenade
182,-8.85,1.49,-15.78,-223.46,50.28,195.06,grenade
183,-7.63,-2.43,-12.67,160.32,97.0,300.63,grenade
184,-6.94,-22.3,-12.18,155.33,68.7,-315.52,grenade
185,4.77,-24.52,5.51,-321.74,-67.81,142.77,grenade
186,10.8,-10.71,12.54,-248.29,-305.77,-287.52,grenade
187,8.37,3.52,12.62,98.27,68.02,40.62,grenade
188,1.37,1.84,8.03,80.2,22.98,-199.87,grenade
189,-7.98,6.81,5.56,72.83,170.82,-105.56,grenade
190,-6.12,8.55,5.95,-110.11,-24.96,34.93,grenade
191,-0.06,3.92,10.96,-165.32,-96.96,56.52,grenade
192,1.18,3.54,10.86,-42.4,27.55,17.36,grenade
193,-1.0,4.24,9.11,-15.41,30.21,-7.63,grenade
194,-2.05,3.85,8.29,-6.54,10.8,-2.39,grenade
195,-1.14,4.61,6.82,-15.8,-24.04,8.6,grenade
196,-0.56,3.38,7.46,-58.33,-16.92,12.75,grenade
197,-0.09,3.79,7.43,-43.32,-1.99,13.87,grenade
198,0.69,2.57,6.6,-55.24,-11.47,-6.82,grenade
199,0.58,0.2,5.98,-54.92,12.89,-29.11,grenade
200,1.25,-0.14,5.62,-65.38,-37.18,-66.91,grenade
201,-0.28,-4.0,4.96,-72.14,-25.56,-76.14,grenade
202,-1.41,-1.93,3.18,-63.61,-194.67,-49.48,grenade
203,1.82,-3.8,2.28,-143.68,-199.41,-13.64,grenade
204,-0.34,-1.29,1.02,-95.81,-162.94,48.37,grenade
205,0.05,-3.87,0.5,-205.73,-262.86,129.63,grenade
206,0.95,-5.85,2.66,-186.46,-250.84,219.25,grenade
207,5.99,-13.66,1.4,-166.99,300.89,270.33,grenade
208,10.38,-19.02,-2.95,-74.98,234.54,268.14,grenade
209,11.67,-19.91,-4.0,1.58,253.87,280.9,grenade
210,14.82,-14.13,6.46,-155.34,102.62,155.33,grenade
211,9.99,1.13,14.02,-259.67,54.69,155.33,grenade
212,4.26,-1.94,13.84,-237.64,42.28,293.05,grenade
213,4.97,-3.34,10.87,-168.4,-18.28,293.73,grenade
214,-0.82,-5.21,1.8,-234.16,79.07,307.48,grenade
215,-5.85,-0.93,-8.59,-238.0,32.5,-316.41,grenade
216,-8.91,4.51,-16.08,286.47,-53.74,-220.23,grenade
217,-10.41,3.95,-17.87,93.39,-0.09,-78.25,grenade
218,-8.67,4.28,-18.66,-76.13,-14.95,98.35,grenade
219,-8.23,0.58,-15.85,262.73,22.76,203.84,grenade
220,-6.44,-9.0,-9.31,155.33,58.3,269.91,grenade
221,-5.44,-25.56,-4.8,155.33,107.24,239.39,grenade
222,5.49,-21.3,14.0,-251.19,62.88,251.8,grenade
223,11.4,-5.29,20.71,-19.8,256.47,280.58,grenade
224,5.07,4.33,8.14,3.41,-122.38,-98.62,grenade
225,-1.27,3.36,5.37,102.65,87.83,-180.69,grenade
226,-7.98,9.93,2.5,51.44,183.85,-33.77,grenade
227,-2.42,7.22,6.58,-155.05,-73.94,47.67,grenade
228,0.7,3.78,11.53,-91.65,-20.98,23.57,grenade
229,-0.26,4.77,9.99,0.8,49.64,-8.31,grenade
230,-1.99,5.47,8.21,8.07,38.68,-15.3,grenade
231,-1.81,5.33,8.59,-10.19,2.83,1.83,grenade
232,-0.82,5.28,7.85,-5.76,-13.94,2.13,grenade
233,-0.5,5.53,7.3,-22.92,-1.77,-0.32,grenade
234,-1.62,4.78,7.67,-31.6,-2.51,-7.05,grenade
