,ax,ay,az,gx,gy,gz,action
0,-12.57,-2.93,-22.73,234.59,-160.99,37.6,grenade
1,-10.43,-3.5,-20.76,146.95,-197.2,230.83,grenade
2,-4.96,-5.87,-17.26,4.28,-199.43,-292.83,grenade
3,-2.55,-8.9,-15.36,-220.17,-142.1,-218.47,grenade
4,-0.43,-17.01,-13.73,258.71,-101.26,-167.29,grenade
5,1.72,-21.88,-16.15,155.33,-245.21,-155.34,grenade
6,8.64,-45.61,-1.86,155.33,268.59,-155.34,grenade
7,-3.78,-41.7,10.74,155.33,-155.34,-178.75,grenade
8,4.1,-6.97,15.29,86.49,155.33,-68.63,grenade
9,16.81,-2.02,11.87,-231.06,-136.62,-37.82,grenade
10,-9.73,-19.21,24.04,170.49,-155.34,136.02,grenade
11,-5.74,0.26,15.54,-45.61,-308.77,-37.58,grenade
12,6.74,-3.5,14.16,-99.92,-132.36,-32.36,grenade
13,-0.34,-3.94,15.36,125.78,172.8,-7.37,grenade
14,-2.11,0.53,10.2,-6.21,-47.94,-2.92,grenade
15,0.67,-0.9,10.97,1.17,-54.96,-10.48,grenade
16,-2.0,-1.22,9.21,70.86,63.67,3.31,grenade
17,-1.39,-1.3,6.47,12.48,-29.68,20.18,grenade
18,1.11,-1.81,4.54,-31.55,-102.37,8.28,grenade
19,2.44,-2.33,0.17,-17.24,-41.32,-40.25,grenade
20,1.05,-4.41,-1.41,-31.74,10.45,-111.47,grenade
21,-0.21,-6.44,-3.42,-34.85,-46.69,-156.01,grenade
22,-1.83,-5.83,-3.85,-37.5,-64.45,-146.61,grenade
23,-3.37,-2.69,-3.55,-88.93,-170.59,-100.25,grenade
24,-1.61,-2.42,-1.72,-267.55,275.65,56.87,grenade
25,5.48,-14.16,0.43,155.33,170.88,265.53,grenade
26,20.78,-23.78,-1.18,-239.29,242.99,282.5,grenade
27,19.83,-20.01,-1.76,-72.13,270.78,185.92,grenade
28,18.2,-17.16,-3.78,40.74,-321.71,158.76,grenade
29,14.11,-17.16,-3.89,25.45,-167.86,171.96,grenade
30,11.26,-13.65,-6.58,107.73,-289.8,69.29,grenade
31,12.28,-10.26,-7.32,101.73,-279.27,39.78,grenade
32,11.06,-7.42,-5.27,-19.74,-71.4,64.09,grenade
33,6.46,-9.93,-2.59,-128.41,125.0,56.79,grenade
34,1.82,-10.01,-1.3,-11.61,-5.93,7.23,grenade
35,-12.57,-2.93,-22.73,234.59,-160.99,37.6,grenade
36,-10.43,-3.5,-20.76,146.95,-197.2,230.83,grenade
37,-4.96,-5.87,-17.26,4.28,-199.43,-292.83,grenade
38,-2.55,-8.9,-15.36,-220.17,-142.1,-218.47,grenade
39,-0.43,-17.01,-13.73,258.71,-101.26,-167.29,grenade
40,1.72,-21.88,-16.15,155.33,-245.21,-155.34,grenade
41,8.64,-45.61,-1.86,155.33,268.59,-155.34,grenade
42,-3.78,-41.7,10.74,155.33,-155.34,-178.75,grenade
43,4.1,-6.97,15.29,86.49,155.33,-68.63,grenade
44,16.81,-2.02,11.87,-231.06,-136.62,-37.82,grenade
45,-9.73,-19.21,24.04,170.49,-155.34,136.02,grenade
46,-5.74,0.26,15.54,-45.61,-308.77,-37.58,grenade
47,6.74,-3.5,14.16,-99.92,-132.36,-32.36,grenade
48,-0.34,-3.94,15.36,125.78,172.8,-7.37,grenade
49,-2.11,0.53,10.2,-6.21,-47.94,-2.92,grenade
50,0.67,-0.9,10.97,1.17,-54.96,-10.48,grenade
51,-2.0,-1.22,9.21,70.86,63.67,3.31,grenade
52,-1.39,-1.3,6.47,12.48,-29.68,20.18,grenade
53,1.11,-1.81,4.54,-31.55,-102.37,8.28,grenade
54,2.44,-2.33,0.17,-17.24,-41.32,-40.25,grenade
55,1.05,-4.41,-1.41,-31.74,10.45,-111.47,grenade
56,-0.21,-6.44,-3.42,-34.85,-46.69,-156.01,grenade
57,-1.83,-5.83,-3.85,-37.5,-64.45,-146.61,grenade
58,-3.37,-2.69,-3.55,-88.93,-170.59,-100.25,grenade
59,-1.61,-2.42,-1.72,-267.55,275.65,56.87,grenade
60,5.48,-14.16,0.43,155.33,170.88,265.53,grenade
61,20.78,-23.78,-1.18,-239.29,242.99,282.5,grenade
62,19.83,-20.01,-1.76,-72.13,270.78,185.92,grenade
63,18.2,-17.16,-3.78,40.74,-321.71,158.76,grenade
64,14.11,-17.16,-3.89,25.45,-167.86,171.96,grenade
65,11.26,-13.65,-6.58,107.73,-289.8,69.29,grenade
66,12.28,-10.26,-7.32,101.73,-279.27,39.78,grenade
67,11.06,-7.42,-5.27,-19.74,-71.4,64.09,grenade
68,6.46,-9.93,-2.59,-128.41,125.0,56.79,grenade
69,1.82,-10.01,-1.3,-11.61,-5.93,7.23,grenade
70,3.92,-17.16,-8.38,-155.34,-269.7,269.76,grenade
71,-5.4,-17.76,-15.4,-155.34,236.69,-297.67,grenade
72,-8.35,-13.32,-26.06,-155.34,53.98,-237.06,grenade
73,-11.63,-2.45,-29.7,-155.34,-114.38,-64.59,grenade
74,-14.29,-8.57,-20.11,230.96,-24.03,29.22,grenade
75,-10.94,-6.62,-22.95,194.13,-209.24,269.12,grenade
76,-3.16,-7.3,-18.71,13.99,-168.16,-266.77,grenade
77,-1.12,-8.34,-14.44,-202.83,-93.74,-245.05,grenade
78,-0.68,-14.86,-8.58,-320.64,-18.34,-233.3,grenade
79,1.36,-15.61,-10.15,209.61,-169.53,-173.59,grenade
80,7.28,-32.34,-6.03,155.33,-146.95,-155.34,grenade
81,8.74,-32.62,5.8,155.33,-292.63,-155.34,grenade
82,-10.24,-44.94,27.86,-291.17,-249.08,-289.38,grenade
83,23.24,5.79,28.88,-75.33,155.33,-257.61,grenade
84,4.66,-6.2,13.72,-238.91,-202.89,-42.97,grenade
85,-10.62,1.94,9.16,11.18,219.34,75.94,grenade
86,3.75,-3.66,24.41,-273.88,197.11,-7.56,grenade
87,8.69,-6.61,12.8,-15.42,66.67,-8.31,grenade
88,0.05,-1.18,11.3,119.36,152.95,-37.52,grenade
89,-0.43,-2.56,13.25,-75.62,-82.02,-26.72,grenade
90,1.38,-3.85,12.99,64.45,12.6,-16.69,grenade
91,0.17,-3.58,13.09,73.79,-13.23,-25.43,grenade
92,-0.4,-2.67,11.05,117.95,-17.93,-44.36,grenade
93,-0.71,-1.75,6.66,123.04,-2.27,-52.0,grenade
94,-1.09,-1.48,1.06,110.94,34.07,-77.12,grenade
95,-1.51,-1.99,-3.31,78.2,-16.37,-60.73,grenade
96,-0.82,-2.5,-3.38,-39.47,-151.82,-80.11,grenade
97,-0.85,-2.73,-3.58,-107.03,-154.14,-85.85,grenade
98,-3.03,-3.65,-2.84,-173.9,-162.82,-36.62,grenade
99,-3.07,-4.45,-2.29,-210.49,-270.94,75.39,grenade
100,2.39,-7.62,-3.7,-251.51,260.74,208.61,grenade
101,14.24,-17.79,-6.81,-319.05,208.23,311.88,grenade
102,18.6,-18.27,-7.98,-97.35,220.26,228.56,grenade
103,20.01,-21.16,-8.95,13.87,262.1,257.05,grenade
104,17.34,-16.36,-10.32,96.97,-268.89,149.45,grenade
105,3.92,-17.16,-8.38,-155.34,-269.7,269.76,grenade
106,-5.4,-17.76,-15.4,-155.34,236.69,-297.67,grenade
107,-8.35,-13.32,-26.06,-155.34,53.98,-237.06,grenade
108,-11.63,-2.45,-29.7,-155.34,-114.38,-64.59,grenade
109,-14.29,-8.57,-20.11,230.96,-24.03,29.22,grenade
110,-10.94,-6.62,-22.95,194.13,-209.24,269.12,grenade
111,-3.16,-7.3,-18.71,13.99,-168.16,-266.77,grenade
112,-1.12,-8.34,-14.44,-202.83,-93.74,-245.05,grenade
113,-0.68,-14.86,-8.58,-320.64,-18.34,-233.3,grenade
114,1.36,-15.61,-10.15,209.61,-169.53,-173.59,grenade
115,7.28,-32.34,-6.03,155.33,-146.95,-155.34,grenade
116,8.74,-32.62,5.8,155.33,-292.63,-155.34,grenade
117,-10.24,-44.94,27.86,-291.17,-249.08,-289.38,grenade
118,23.24,5.79,28.88,-75.33,155.33,-257.61,grenade
119,4.66,-6.2,13.72,-238.91,-202.89,-42.97,grenade
120,-10.62,1.94,9.16,11.18,219.34,75.94,grenade
121,3.75,-3.66,24.41,-273.88,197.11,-7.56,grenade
122,8.69,-6.61,12.8,-15.42,66.67,-8.31,grenade
123,0.05,-1.18,11.3,119.36,152.95,-37.52,grenade
