,ax,ay,az,gx,gy,gz,action
0,9.05,-20.1,0.98,61.29,92.01,155.33,grenade
1,3.82,-17.73,0.11,85.19,161.74,155.33,grenade
2,0.97,-14.98,0.36,160.39,133.03,174.48,grenade
3,-2.5,-11.5,-0.61,217.37,136.8,226.64,grenade
4,-2.52,-5.88,-3.24,263.17,86.15,246.37,grenade
5,-6.78,0.86,-5.95,269.73,102.22,286.07,grenade
6,-7.67,-0.61,-6.53,213.15,4.83,325.31,grenade
7,-15.5,-2.47,-13.31,241.33,29.95,326.36,grenade
8,-17.4,-1.26,-16.76,144.42,38.08,-209.27,grenade
9,-10.32,1.11,-11.37,58.96,-16.74,-80.6,grenade
10,-8.04,-0.87,-8.2,71.7,-2.8,-60.07,grenade
11,-13.46,-2.89,-12.4,119.31,1.81,-43.12,grenade
12,-17.68,-4.48,-18.89,47.44,17.71,79.39,grenade
13,-19.27,-9.95,-22.65,-162.83,-16.77,213.91,grenade
14,-12.34,-10.41,-16.21,245.53,65.66,-320.61,grenade
15,-7.29,-14.01,-7.98,155.33,96.39,-285.6,grenade
16,-2.79,-20.98,-4.58,155.33,27.16,-276.26,grenade
17,-1.5,-19.45,-2.3,155.33,123.89,260.3,grenade
18,-2.46,-19.18,-1.59,155.33,23.71,201.87,grenade
19,0.28,-17.73,6.91,160.04,-16.0,228.8,grenade
20,1.33,-17.05,17.76,299.58,249.27,221.57,grenade
21,5.41,-7.23,16.12,-104.74,-137.01,121.95,grenade
22,11.36,-7.84,16.23,-75.73,126.1,16.2,grenade
23,-0.78,-6.08,16.97,-55.88,33.69,-62.99,grenade
24,1.4,-5.5,13.24,-7.05,-42.78,9.09,grenade
25,1.62,-3.99,12.06,-36.89,73.32,27.45,grenade
26,0.65,-4.99,12.71,-76.2,-54.26,2.33,grenade
27,2.4,-4.56,11.93,-5.81,-27.83,-13.52,grenade
28,1.26,-2.97,9.79,23.66,26.06,-18.34,grenade
29,-0.7,-2.46,9.15,3.98,-10.36,-24.91,grenade
30,0.93,-2.74,9.35,-10.19,-30.35,0.45,grenade
31,2.05,-3.15,9.85,-18.0,-13.94,10.55,grenade
32,1.87,-3.42,10.17,1.0,8.4,-9.2,grenade
33,2.17,-3.74,9.44,8.6,-20.15,-15.0,grenade
34,2.23,-4.06,8.87,-0.38,-17.51,-28.96,grenade
35,23.32,-25.23,-1.41,84.52,37.32,155.33,grenade
36,25.87,-26.68,1.51,73.93,-23.04,155.33,grenade
37,26.91,-25.57,5.83,50.83,-66.79,155.33,grenade
38,17.71,-22.42,5.92,72.66,128.42,155.33,grenade
39,8.39,-22.46,5.32,115.24,177.09,155.33,grenade
40,1.22,-19.24,-1.13,251.71,245.1,155.33,grenade
41,-7.77,-7.02,-10.63,-310.5,181.74,256.74,grenade
42,-10.61,-4.74,-16.49,323.86,35.29,-237.32,grenade
43,-13.98,-2.52,-22.36,193.34,-103.78,-97.95,grenade
44,-16.21,-6.65,-24.41,-16.03,-18.35,50.55,grenade
45,-16.65,-10.65,-23.68,-282.85,12.4,188.84,grenade
46,-12.41,-16.11,-17.86,155.33,84.41,305.13,grenade
47,-6.22,-28.42,-12.03,155.33,-79.01,-264.82,grenade
48,-3.02,-34.79,-8.75,155.33,107.93,-289.86,grenade
49,-0.11,-28.28,0.63,155.33,27.45,225.57,grenade
50,0.58,-15.96,9.78,-283.02,124.79,119.91,grenade
51,-1.79,-8.28,15.14,-128.84,70.36,66.44,grenade
52,3.79,-6.25,17.66,-243.88,-90.69,102.97,grenade
53,3.48,-7.98,23.37,-120.17,35.95,-25.68,grenade
54,-0.75,-5.45,19.58,3.09,15.32,-28.55,grenade
55,2.23,-3.37,17.73,-36.33,-25.4,18.29,grenade
56,3.07,-3.75,16.63,-6.37,-30.61,-14.66,grenade
57,1.97,-2.49,13.76,37.09,13.5,-22.4,grenade
58,1.24,-1.32,11.42,23.11,-44.98,-26.99,grenade
59,0.21,-0.94,10.25,30.13,7.46,-27.86,grenade
60,-1.11,-0.4,8.87,26.5,-44.39,-24.08,grenade
61,-0.49,0.53,8.04,16.06,-26.43,-9.53,grenade
62,1.19,-0.19,8.22,-35.92,-54.63,28.27,grenade
63,3.91,-3.29,7.71,-36.3,-85.83,-1.81,grenade
64,4.54,-7.17,4.55,30.8,-82.29,-104.88,grenade
65,1.06,-7.4,2.36,83.77,-118.92,-232.15,grenade
66,-1.59,-7.17,2.34,62.64,-99.03,-240.75,grenade
67,-2.79,-2.94,0.85,79.22,-108.14,-149.24,grenade
68,-1.99,1.79,1.2,19.25,-183.54,-68.51,grenade
69,-0.97,3.28,1.34,-57.27,-220.35,38.01,grenade
70,13.93,-20.86,2.22,-148.34,67.17,155.33,grenade
71,7.93,-20.11,2.1,-56.98,50.61,155.33,grenade
72,-1.42,-19.23,-1.05,64.41,173.52,155.33,grenade
73,-13.17,-9.43,-10.82,245.86,81.21,175.73,grenade
74,-16.94,-4.31,-14.47,214.08,-34.76,-255.34,grenade
75,-18.58,2.23,-18.96,143.53,-80.78,-86.5,grenade
76,-14.42,-0.34,-17.09,-39.99,-73.01,107.52,grenade
77,-10.12,-4.66,-13.81,-187.98,-61.0,197.69,grenade
78,-9.16,-9.07,-12.27,245.54,23.45,308.09,grenade
79,-4.16,-17.46,-10.16,155.33,-126.61,-257.02,grenade
80,0.54,-24.22,-6.44,155.33,-23.97,-259.67,grenade
81,0.11,-19.99,-2.15,159.81,117.18,274.86,grenade
82,-2.14,-14.93,5.03,268.13,203.12,159.92,grenade
83,-3.12,-9.12,9.34,-225.54,-16.22,97.41,grenade
84,-2.46,-8.83,10.0,-196.54,-85.85,60.59,grenade
85,3.11,-6.72,14.11,-218.98,-67.15,97.81,grenade
86,4.26,-10.42,19.07,-202.74,-54.4,92.1,grenade
87,10.82,-11.19,19.16,-68.22,-73.61,27.71,grenade
88,4.9,-8.09,17.56,1.58,61.23,-39.96,grenade
89,3.19,-7.37,16.66,4.34,-37.81,-17.28,grenade
90,4.39,-5.48,14.13,41.21,-8.16,-20.4,grenade
91,3.57,-4.63,11.29,40.68,-44.39,-53.12,grenade
92,5.28,-7.26,6.75,71.0,-68.05,-90.73,grenade
93,3.92,-9.34,3.57,85.66,-71.7,-184.06,grenade
94,0.84,-10.11,2.58,50.7,-95.06,-270.36,grenade
95,-2.67,-7.34,1.01,60.94,-175.81,-269.2,grenade
96,0.68,-2.82,0.78,30.5,-167.14,-194.29,grenade
97,-3.26,1.28,1.48,2.02,27.36,-111.24,grenade
98,-5.63,3.56,0.99,-29.52,-148.73,14.66,grenade
99,-2.04,3.77,1.51,-50.0,324.92,152.92,grenade
100,4.64,-2.86,1.96,-5.31,283.07,293.75,grenade
101,12.78,-5.89,-1.14,110.32,276.96,-312.0,grenade
102,21.86,-7.85,-3.53,110.65,-270.02,242.95,grenade
103,17.1,-7.39,-2.17,130.77,204.46,302.57,grenade
104,9.99,-8.06,0.44,16.03,-123.22,319.54,grenade
105,15.32,-16.73,5.34,39.73,179.96,155.33,grenade
106,10.54,-19.47,4.08,128.5,190.44,155.33,grenade
107,1.08,-14.96,-3.62,229.81,262.25,155.33,grenade
108,-5.97,-10.96,-7.62,314.92,119.25,155.33,grenade
109,-13.94,-5.63,-18.08,-291.08,161.87,-306.68,grenade
110,-12.88,-2.56,-21.4,273.52,-162.64,-104.46,grenade
111,-14.52,-2.21,-23.76,51.21,-109.71,2.62,grenade
112,-14.6,-6.15,-19.6,-212.0,-4.15,176.39,grenade
113,-9.22,-8.61,-13.42,210.25,31.83,-327.15,grenade
114,-5.81,-21.3,-11.28,155.33,-148.8,-267.1,grenade
115,-3.55,-21.72,-7.36,156.1,-103.61,-294.47,grenade
116,-0.45,-21.56,-3.97,155.33,-257.19,-313.27,grenade
117,5.01,-17.67,2.67,265.12,16.77,-301.81,grenade
118,2.79,-10.65,8.9,-253.78,276.4,277.71,grenade
119,-2.08,-6.81,8.42,-78.81,122.36,107.53,grenade
120,3.07,-3.82,9.41,-143.06,-118.6,50.55,grenade
121,2.76,-5.99,13.38,-173.91,-7.03,37.76,grenade
122,3.87,-10.22,19.57,-159.45,-65.23,54.26,grenade
123,7.51,-9.37,18.56,-40.11,-33.23,42.62,grenade
124,8.38,-7.92,16.36,-14.86,0.45,5.82,grenade
125,5.39,-6.8,15.18,8.37,-1.75,-29.95,grenade
126,5.68,-6.24,9.45,52.52,-96.42,-80.09,grenade
127,5.87,-7.72,3.64,85.16,-111.23,-171.0,grenade
128,3.08,-10.21,1.57,23.8,-87.05,-273.55,grenade
129,-1.54,-8.66,1.27,21.19,-37.99,-304.75,grenade
130,-2.63,-4.79,0.68,33.12,-64.94,-211.7,grenade
131,-3.21,-0.26,0.76,23.88,-21.76,-90.09,grenade
132,-4.51,3.45,1.5,-72.01,-77.09,31.31,grenade
133,-2.45,2.56,2.49,-99.49,-251.59,161.14,grenade
134,3.24,-2.1,2.27,-80.23,274.66,265.29,grenade
135,12.22,-8.11,1.57,-30.07,299.61,-313.02,grenade
136,16.17,-11.96,0.25,61.31,-178.22,290.97,grenade
137,13.67,-13.68,0.46,49.96,-98.85,319.78,grenade
138,9.51,-14.15,0.55,58.93,-58.81,316.64,grenade
139,4.26,-15.79,-0.8,48.49,-152.24,260.07,grenade
140,-1.13,-26.45,-4.64,232.94,231.63,155.33,grenade
141,-11.65,-22.93,-18.09,-189.31,297.14,155.33,grenade
142,-14.53,-0.1,-32.5,-312.2,-187.74,-264.28,grenade
143,-13.23,-1.07,-23.81,59.57,-114.03,-135.84,grenade
144,-13.99,-3.39,-17.72,-152.72,46.93,100.82,grenade
145,-7.97,-11.84,-9.24,304.57,-24.99,231.86,grenade
146,-5.66,-18.29,-8.87,155.33,-44.0,-325.44,grenade
147,-5.75,-28.74,-12.0,155.33,-110.92,-284.17,grenade
148,-0.43,-30.76,-8.65,155.33,-28.65,-259.72,grenade
149,0.38,-22.49,-1.33,155.33,180.86,297.0,grenade
150,-4.23,-14.32,2.17,316.17,119.56,88.08,grenade
