,ax,ay,az,gx,gy,gz,action
0,18.24,-14.94,5.04,170.92,-92.2,159.96,grenade
1,12.57,-11.62,5.64,274.92,-85.19,163.31,grenade
2,13.39,3.18,1.88,256.3,-175.35,279.95,grenade
3,17.2,2.31,4.05,105.46,-112.4,242.84,grenade
4,14.22,-3.17,4.83,109.24,-19.7,187.19,grenade
5,7.81,-4.34,-0.62,145.41,26.41,175.1,grenade
6,0.45,-6.44,-5.0,95.02,111.03,187.45,grenade
7,-10.72,-2.44,-12.31,123.49,161.74,-244.92,grenade
8,-10.25,7.92,-17.61,66.68,-33.87,-94.41,grenade
9,-7.61,9.8,-20.77,-100.04,-59.26,32.22,grenade
10,-2.73,8.26,-17.01,-191.36,-25.8,54.67,grenade
11,-0.08,2.64,-12.92,286.41,-52.61,60.46,grenade
12,-0.57,-4.94,-9.58,165.03,-2.59,83.1,grenade
13,-1.08,-10.38,-6.94,167.11,79.88,99.44,grenade
14,-3.64,-15.62,-3.94,238.78,116.86,73.06,grenade
15,-2.62,-14.86,3.56,-276.6,0.68,115.36,grenade
16,-0.56,-9.41,15.35,-139.81,48.03,68.85,grenade
17,-3.82,-5.34,24.06,-136.85,115.7,9.9,grenade
18,-1.5,-4.33,21.64,-48.7,-172.16,16.93,grenade
19,0.63,-2.53,15.43,23.22,-89.31,-34.74,grenade
20,0.02,-1.17,8.08,10.42,-55.05,-24.44,grenade
21,-0.42,-1.76,3.53,-27.68,-58.64,-35.63,grenade
22,-1.58,-2.04,1.2,-80.92,-131.67,-66.83,grenade
23,-2.04,-2.85,-1.14,-82.29,-215.53,-90.81,grenade
24,-2.51,-2.3,-2.05,-101.26,-274.61,-71.93,grenade
25,-2.39,-5.59,-1.57,-162.8,-294.83,26.55,grenade
26,-0.54,-7.12,-1.51,-95.52,-292.41,136.54,grenade
27,3.71,-9.89,-2.53,-60.24,-287.51,229.84,grenade
28,9.57,-14.47,-2.88,-66.62,-261.15,302.75,grenade
29,13.23,-16.17,-6.24,42.14,-229.6,263.83,grenade
30,16.19,-15.58,-7.24,8.62,-260.61,251.4,grenade
31,15.84,-14.95,-7.54,22.15,-244.11,190.78,grenade
32,12.68,-12.92,-7.2,45.97,-158.15,137.5,grenade
33,9.86,-10.5,-6.34,39.92,-65.26,117.5,grenade
34,6.58,-9.51,-5.2,12.51,-53.37,67.38,grenade
35,0.0,-5.9,-5.76,154.17,59.8,215.24,grenade
36,-4.18,0.0,-14.99,89.77,39.69,-259.78,grenade
37,-5.02,5.49,-18.38,-0.36,88.76,-118.5,grenade
38,-3.74,5.34,-16.08,-120.95,-47.3,-54.15,grenade
39,-2.06,1.94,-14.1,-266.88,-99.34,-1.86,grenade
40,-2.76,-2.96,-9.94,263.29,-67.41,28.52,grenade
41,-3.25,-8.71,-8.51,187.2,-27.3,79.68,grenade
42,-2.82,-13.11,-4.35,301.61,-33.08,131.78,grenade
43,-1.94,-11.81,0.15,-284.04,-12.25,111.41,grenade
44,-2.12,-11.04,5.13,-245.76,53.39,149.28,grenade
45,1.48,-8.81,14.25,-204.48,-78.43,126.67,grenade
46,7.48,-6.16,27.88,-240.03,-0.79,29.23,grenade
47,3.14,-6.15,23.87,26.17,9.9,-7.75,grenade
48,3.28,-0.38,18.07,20.78,-13.27,-27.91,grenade
49,0.82,-0.66,14.09,-10.8,39.43,-14.13,grenade
50,0.38,-1.94,11.08,4.37,7.59,-11.79,grenade
51,0.0,-3.01,6.6,62.13,28.03,-51.91,grenade
52,-2.12,-2.06,1.75,45.85,4.65,-81.53,grenade
53,-3.65,-1.99,-0.41,-29.13,-102.25,-94.59,grenade
54,-3.07,-2.22,-1.83,-57.56,-242.78,-88.96,grenade
55,-2.58,-2.32,-2.79,-93.49,-264.41,-61.45,grenade
56,-2.61,-3.26,-2.94,-127.03,-269.52,39.59,grenade
57,-0.67,-4.96,-1.52,-140.31,-288.97,143.12,grenade
58,4.14,-8.76,-1.86,-100.1,-319.54,221.66,grenade
59,9.49,-11.45,-5.1,-24.01,316.96,262.56,grenade
60,16.67,-14.98,-5.91,-4.12,-309.09,297.09,grenade
61,13.34,-12.45,-8.03,32.99,-192.84,187.17,grenade
62,15.97,-14.37,-7.27,52.55,-274.49,224.21,grenade
63,11.49,-11.56,-7.09,29.86,-99.99,171.04,grenade
64,8.63,-12.49,-6.43,32.35,-188.2,137.64,grenade
65,7.98,-10.76,-6.13,33.41,-129.32,118.75,grenade
66,7.37,-10.63,-4.95,21.47,-91.49,62.55,grenade
67,4.99,-9.62,-4.39,27.77,-10.95,22.7,grenade
68,2.79,-8.55,-4.25,9.41,17.38,6.82,grenade
69,0.87,-8.4,-3.27,-20.15,5.32,-9.7,grenade
70,23.32,-20.45,1.02,281.71,-78.4,155.33,grenade
71,31.67,-8.56,1.82,240.61,-93.6,155.33,grenade
72,21.16,-4.79,4.99,110.34,14.4,155.33,grenade
73,8.45,-15.61,4.65,96.32,151.24,155.33,grenade
74,-4.46,-12.69,-4.13,240.81,127.26,183.91,grenade
75,-7.37,-0.11,-15.17,206.11,-37.49,-309.06,grenade
76,-6.61,5.9,-19.34,-13.64,-11.42,-92.7,grenade
77,-8.68,4.31,-20.88,-127.93,-4.89,-55.34,grenade
78,-7.01,0.8,-17.02,323.48,-129.84,46.42,grenade
79,-4.09,-7.29,-11.16,155.33,-116.38,134.65,grenade
80,-3.5,-15.29,-3.72,244.37,91.59,185.8,grenade
81,-3.99,-12.95,-2.45,310.96,22.05,166.08,grenade
82,-3.06,-13.36,1.95,-289.6,37.08,150.82,grenade
83,-0.95,-12.42,8.9,-235.41,-25.11,151.21,grenade
84,2.86,-6.29,18.51,-127.95,29.58,83.18,grenade
85,1.27,-5.79,23.84,-147.54,13.01,12.07,grenade
86,2.02,-5.27,23.94,-39.58,14.2,-3.54,grenade
87,0.91,-2.45,17.72,40.83,-13.19,-15.8,grenade
88,1.2,-2.76,11.74,14.84,-14.29,-26.39,grenade
89,-0.48,-3.65,5.98,22.85,6.66,-57.92,grenade
90,-3.24,-2.94,1.69,33.37,-40.39,-108.86,grenade
91,-3.7,-1.77,-2.16,8.05,-188.62,-122.62,grenade
92,-3.54,-1.05,-2.85,-87.76,-260.71,-107.24,grenade
93,-3.58,-1.99,-4.08,-109.88,-287.95,-54.31,grenade
94,-2.63,-3.3,-3.51,-96.9,-312.67,58.18,grenade
95,-1.05,-6.02,-3.29,-110.57,-230.94,210.83,grenade
96,6.32,-10.42,-2.4,-103.03,252.94,289.02,grenade
97,15.61,-16.0,-4.79,3.84,-310.29,296.91,grenade
98,14.39,-12.63,-8.32,16.43,-252.4,227.51,grenade
99,18.99,-16.77,-7.9,1.72,-311.99,273.52,grenade
100,15.36,-13.12,-7.83,48.72,-130.35,176.0,grenade
101,10.25,-11.68,-7.49,28.07,-138.83,126.76,grenade
102,8.74,-11.32,-6.99,5.26,-164.79,99.58,grenade
103,7.92,-9.71,-5.42,15.5,-104.1,65.93,grenade
104,4.47,-8.78,-4.82,-5.93,-15.24,7.87,grenade
105,23.1,-25.87,-5.68,79.0,-312.4,155.33,grenade
106,24.71,-15.72,-5.71,120.3,-181.22,155.33,grenade
107,22.42,-5.94,-4.79,13.67,-149.02,155.33,grenade
108,22.49,-8.1,1.59,-270.83,-55.36,155.33,grenade
109,9.88,-21.91,3.29,-160.41,234.98,155.33,grenade
110,-13.16,-14.06,-8.95,212.61,239.58,155.33,grenade
