,ax,ay,az,gx,gy,gz,action
0,11.66,-26.56,12.28,-241.83,85.53,-282.14,grenade
1,7.76,-25.42,8.64,-163.55,135.11,-305.61,grenade
2,3.69,-25.84,4.4,-155.34,110.77,309.47,grenade
3,-1.28,-23.79,-4.8,-155.34,40.77,283.65,grenade
4,-3.62,-21.99,-8.93,-155.34,62.7,277.25,grenade
5,-10.33,-18.23,-17.26,-155.34,5.12,280.21,grenade
6,-12.77,-4.51,-25.15,-155.34,14.25,314.49,grenade
7,-12.31,-1.73,-17.94,108.23,-19.88,-195.28,grenade
8,-10.45,-1.51,-9.71,54.78,33.69,-161.22,grenade
9,-20.83,-2.73,-18.79,61.54,11.62,-67.03,grenade
10,-18.97,-2.51,-24.4,0.76,-40.3,86.73,grenade
11,-18.79,-3.43,-22.72,-61.92,-1.81,162.64,grenade
12,-10.75,-2.77,-20.15,-185.04,50.25,-313.59,grenade
13,-4.95,-1.65,-16.66,155.33,110.57,-227.29,grenade
14,-3.81,-34.14,-8.66,155.33,165.05,-155.34,grenade
15,4.54,-45.98,16.24,155.33,182.37,266.3,grenade
16,-5.63,-10.42,16.52,2.68,-155.34,141.35,grenade
17,-1.36,11.35,10.82,-167.86,166.66,60.64,grenade
18,-1.07,5.49,11.68,175.41,257.63,-95.55,grenade
19,-2.79,7.85,6.39,84.34,14.29,-39.18,grenade
20,-2.67,6.08,9.47,-12.78,284.49,-20.69,grenade
21,-6.14,7.0,3.24,68.97,11.07,-6.43,grenade
22,-1.9,6.09,7.21,-5.09,-202.62,15.1,grenade
23,0.87,4.63,5.36,31.17,-36.12,-10.51,grenade
24,-0.74,2.96,5.05,75.65,81.82,-50.66,grenade
25,-1.86,2.15,1.34,69.67,-110.43,-57.04,grenade
26,-1.45,0.57,0.28,2.31,-230.31,-84.73,grenade
27,-1.71,-0.54,-0.23,7.21,-196.77,-111.61,grenade
28,-1.54,2.28,-1.59,-21.6,-197.44,-75.53,grenade
29,-0.67,1.49,0.2,-154.3,-180.55,-2.27,grenade
30,-1.4,2.56,-0.42,-170.37,-22.85,29.37,grenade
31,-4.54,0.81,0.99,-227.87,-78.81,103.38,grenade
32,-0.08,-2.84,3.4,310.02,-225.43,219.56,grenade
33,7.21,-11.18,9.67,314.32,-195.35,278.58,grenade
34,6.2,-13.41,9.48,-271.67,-123.63,270.94,grenade
35,9.04,-30.16,9.57,-261.79,225.02,-211.0,grenade
36,8.77,-32.87,12.5,-160.9,75.53,-299.11,grenade
37,7.81,-32.36,9.87,-155.34,164.77,324.35,grenade
38,0.09,-26.21,1.89,-155.34,121.59,-292.9,grenade
39,-1.79,-26.1,-6.38,-155.34,41.33,-263.0,grenade
40,-4.6,-25.39,-9.17,-155.34,56.56,-284.55,grenade
41,-9.07,-12.68,-17.32,-155.34,-59.88,-282.64,grenade
42,-6.64,-3.11,-20.93,324.38,-211.38,-287.69,grenade
43,-11.34,-0.35,-12.29,93.51,-34.56,-185.42,grenade
44,-8.41,1.11,-6.4,59.88,-73.75,-105.93,grenade
45,-12.75,-3.13,-8.27,75.3,26.03,-92.35,grenade
46,-22.18,-1.02,-21.33,36.36,80.83,-18.25,grenade
47,-19.34,-3.5,-23.88,0.13,21.47,111.24,grenade
48,-15.8,-0.27,-27.74,-116.34,-12.17,224.56,grenade
49,-6.38,1.47,-19.03,-258.55,-2.1,297.0,grenade
50,-7.52,-5.07,-12.39,155.33,90.04,-232.83,grenade
51,-6.34,-41.1,-5.28,155.33,188.85,-155.34,grenade
52,4.8,-42.06,22.27,187.98,274.42,-273.15,grenade
53,-1.29,-9.16,18.25,136.43,-215.89,150.76,grenade
54,9.21,8.11,17.27,-94.94,-314.5,-15.54,grenade
55,0.62,3.33,7.5,119.51,-1.23,-133.32,grenade
56,-3.09,7.31,5.03,95.86,-188.61,-88.15,grenade
57,-8.72,6.63,4.66,-86.34,191.14,-5.17,grenade
58,-3.32,5.18,8.02,35.63,-233.89,37.46,grenade
59,1.79,5.52,8.15,-20.95,-179.5,2.47,grenade
60,0.78,3.26,6.36,48.72,63.86,-29.78,grenade
61,-1.16,4.04,3.8,71.9,67.29,-37.86,grenade
62,-0.95,2.13,1.63,33.89,-151.22,-47.96,grenade
63,0.06,0.82,-0.94,-73.33,-289.84,-90.36,grenade
64,0.6,-1.82,-2.14,-160.85,-317.75,-139.96,grenade
65,0.28,-2.16,0.0,-46.31,-180.22,-132.04,grenade
66,0.46,-1.12,1.58,-103.84,-36.28,-83.82,grenade
67,-2.29,0.56,0.65,-68.56,47.48,-12.26,grenade
68,-4.3,1.4,0.3,-162.99,0.01,94.5,grenade
69,-1.33,-3.31,3.73,237.33,-195.55,236.97,grenade
70,6.14,-29.41,5.97,-155.34,172.65,-316.5,grenade
71,4.28,-30.3,3.11,-155.34,177.39,-314.95,grenade
72,-3.71,-29.4,-4.17,-155.34,94.42,-322.07,grenade
73,-4.08,-23.72,-7.29,-155.34,-16.6,-296.44,grenade
74,-6.91,-14.56,-19.1,-155.34,-222.04,281.74,grenade
75,-11.12,-8.24,-13.2,242.69,-31.02,278.03,grenade
76,-17.08,4.63,-16.25,138.19,-30.29,-203.14,grenade
77,-7.83,0.2,-3.87,64.97,-56.66,-109.33,grenade
78,-13.12,3.53,-8.74,86.14,35.63,-117.21,grenade
79,-20.92,-1.84,-18.08,107.53,30.97,-45.21,grenade
80,-22.04,0.6,-25.7,8.78,23.88,58.04,grenade
81,-18.99,-0.17,-28.46,-103.6,-7.58,232.57,grenade
82,-9.75,1.53,-16.43,321.57,126.06,-305.25,grenade
83,-9.58,-10.02,-11.25,155.33,153.11,-155.34,grenade
84,-1.34,-51.61,-0.23,155.33,95.2,-155.34,grenade
85,2.08,-35.72,15.31,201.11,238.59,316.27,grenade
86,0.77,-10.69,19.87,66.18,-206.25,227.74,grenade
87,6.94,8.36,17.44,-143.79,-307.48,9.85,grenade
88,1.96,1.05,8.05,170.54,-41.43,-218.95,grenade
89,-3.51,6.89,4.76,121.43,-155.34,-94.87,grenade
90,-8.24,2.69,6.96,-88.49,199.23,18.78,grenade
91,-3.33,4.58,8.6,46.43,-257.58,25.08,grenade
92,1.27,4.64,8.5,3.95,-137.46,6.51,grenade
93,0.67,3.74,6.5,53.8,96.13,-24.59,grenade
94,0.36,2.76,4.11,10.83,-138.04,-20.5,grenade
95,0.7,-1.08,2.63,-58.68,-182.58,-59.92,grenade
96,0.16,-2.68,2.85,-15.64,-174.1,-132.02,grenade
97,-0.46,-3.43,3.26,48.55,-160.5,-130.67,grenade
98,-0.9,0.35,-0.3,43.07,-106.19,-94.56,grenade
99,-2.37,1.5,-0.47,-19.41,-63.39,-49.27,grenade
100,-3.89,5.1,-0.67,-107.04,-78.2,59.71,grenade
101,1.49,-7.0,6.76,270.25,-90.03,307.19,grenade
102,7.65,-13.86,10.87,290.51,-192.1,-314.11,grenade
103,12.58,-19.88,8.16,281.45,-261.17,-319.84,grenade
104,14.93,-22.57,7.12,-206.4,-228.85,322.18,grenade
105,-6.0,-17.95,-7.52,-155.34,3.7,-310.52,grenade
106,-6.72,-11.5,-11.44,-155.34,-80.6,-310.12,grenade
107,-10.25,-6.44,-16.38,-175.42,-119.85,310.78,grenade
108,-8.53,-0.66,-7.95,66.57,-73.64,-157.07,grenade
109,-10.29,0.6,-5.8,71.08,-12.72,-133.92,grenade
